,time,src,dst,len,role
0,0.0,52.166.239.97,192.168.67.64,382,0
1,0.011060953140258789,192.168.67.64,52.166.239.97,49,1
2,0.021649837493896484,52.166.239.97,192.168.67.64,205,0
3,0.03282499313354492,192.168.67.64,52.166.239.97,49,1
4,0.043128013610839844,52.166.239.97,192.168.67.64,128,0
5,0.05457782745361328,192.168.67.64,52.166.239.97,49,1
6,0.06658601760864258,52.166.239.97,192.168.67.64,380,0
7,0.08719682693481445,192.168.67.64,52.166.239.97,49,1
8,0.08736586570739746,52.166.239.97,192.168.67.64,178,0
9,0.09808492660522461,192.168.67.64,52.166.239.97,49,1
10,0.10786700248718262,52.166.239.97,192.168.67.64,219,0
11,0.11982202529907227,192.168.67.64,52.166.239.97,49,1
12,0.12876582145690918,52.166.239.97,192.168.67.64,100,0
13,0.14157986640930176,192.168.67.64,52.166.239.97,49,1
14,0.14892983436584473,52.166.239.97,192.168.67.64,431,0
15,0.1633310317993164,192.168.67.64,52.166.239.97,49,1
16,0.16626691818237305,52.166.239.97,192.168.67.64,196,0
17,0.18494486808776855,52.166.239.97,192.168.67.64,135,0
18,0.18507003784179688,192.168.67.64,52.166.239.97,52,1
19,0.20781803131103516,52.166.239.97,192.168.67.64,441,0
20,0.2281808853149414,192.168.67.64,52.166.239.97,49,1
21,0.22826790809631348,52.166.239.97,192.168.67.64,165,0
22,0.23907184600830078,192.168.67.64,52.166.239.97,49,1
23,0.24881386756896973,52.166.239.97,192.168.67.64,101,0
24,0.2608070373535156,192.168.67.64,52.166.239.97,49,1
25,0.27243804931640625,52.166.239.97,192.168.67.64,293,0
26,0.2825770378112793,192.168.67.64,52.166.239.97,49,1
27,0.292280912399292,52.166.239.97,192.168.67.64,184,0
28,0.30431699752807617,192.168.67.64,52.166.239.97,49,1
29,0.31330084800720215,52.166.239.97,192.168.67.64,228,0
30,0.3260629177093506,192.168.67.64,52.166.239.97,49,1
31,0.3337738513946533,52.166.239.97,192.168.67.64,231,0
32,0.34781503677368164,192.168.67.64,52.166.239.97,49,1
33,0.35534000396728516,52.166.239.97,192.168.67.64,156,0
34,0.36956000328063965,192.168.67.64,52.166.239.97,49,1
35,0.37579989433288574,52.166.239.97,192.168.67.64,360,0
36,0.39131593704223633,192.168.67.64,52.166.239.97,49,1
37,0.39704298973083496,52.166.239.97,192.168.67.64,110,0
38,0.4130690097808838,192.168.67.64,52.166.239.97,49,1
39,0.4170949459075928,52.166.239.97,192.168.67.64,101,0
40,0.43482089042663574,192.168.67.64,52.166.239.97,49,1
41,0.4384799003601074,52.166.239.97,192.168.67.64,327,0
42,0.45662593841552734,192.168.67.64,52.166.239.97,49,1
43,0.45987892150878906,52.166.239.97,192.168.67.64,101,0
44,0.4783139228820801,192.168.67.64,52.166.239.97,49,1
45,0.48343491554260254,52.166.239.97,192.168.67.64,283,0
46,0.5000638961791992,192.168.67.64,52.166.239.97,49,1
47,0.5023260116577148,52.166.239.97,192.168.67.64,165,0
48,0.5218179225921631,192.168.67.64,52.166.239.97,49,1
49,0.5257689952850342,52.166.239.97,192.168.67.64,371,0
50,0.5435829162597656,192.168.67.64,52.166.239.97,49,1
51,0.5482618808746338,52.166.239.97,192.168.67.64,149,0
52,0.5653238296508789,192.168.67.64,52.166.239.97,49,1
53,0.5693759918212891,52.166.239.97,192.168.67.64,101,0
54,0.5870769023895264,192.168.67.64,52.166.239.97,49,1
55,0.5904638767242432,52.166.239.97,192.168.67.64,375,0
