,time,src,dst,len,role,seq,ack
0,0.000000,192.168.67.64,52.166.239.43,75,1,-1,-1
1,0.010413,192.168.67.64,52.166.239.43,1506,1,-1,-1
2,0.224171,52.166.239.43,192.168.67.64,168,0,-1,-1
3,0.225413,52.166.239.43,192.168.67.64,70,0,-1,-1
4,0.227893,192.168.67.64,52.166.239.43,76,1,-1,-1
5,0.442186,52.166.239.43,192.168.67.64,77,0,-1,-1
6,0.445444,192.168.67.64,52.166.239.43,70,1,0,-1
7,0.655609,52.166.239.43,192.168.67.64,152,0,-1,-1
8,0.662938,192.168.67.64,52.166.239.43,49,1,-1,0 
9,0.673801,192.168.67.64,52.166.239.43,254,1,1,-1
10,0.674901,52.166.239.43,192.168.67.64,60,0,-1,0 
11,0.684696,192.168.67.64,52.166.239.43,58,1,2,-1
12,0.684724,192.168.67.64,52.166.239.43,1471,1,3,-1
13,0.879996,52.166.239.43,192.168.67.64,73,0,-1,-1
14,0.890431,52.166.239.43,192.168.67.64,60,0,-1,1 
15,0.890842,192.168.67.64,52.166.239.43,49,1,-1,1 
16,0.890865,192.168.67.64,52.166.239.43,1471,1,4,-1
17,0.890875,192.168.67.64,52.166.239.43,1471,1,5,-1
18,0.915495,52.166.239.43,192.168.67.64,60,0,-1,2 3 
19,0.923478,192.168.67.64,52.166.239.43,1471,1,6,-1
20,0.923508,192.168.67.64,52.166.239.43,1471,1,7,-1
21,1.107676,52.166.239.43,192.168.67.64,60,0,-1,4 5 
22,1.107889,192.168.67.64,52.166.239.43,1471,1,8,-1
23,1.107913,192.168.67.64,52.166.239.43,1471,1,9,-1
24,1.107923,192.168.67.64,52.166.239.43,1471,1,10,-1
25,1.107931,192.168.67.64,52.166.239.43,1471,1,11,-1
26,1.159266,52.166.239.43,192.168.67.64,60,0,-1,6 7 
27,1.162293,192.168.67.64,52.166.239.43,1471,1,12,-1
28,1.162325,192.168.67.64,52.166.239.43,1471,1,13,-1
29,1.162338,192.168.67.64,52.166.239.43,1471,1,14,-1
30,1.162350,192.168.67.64,52.166.239.43,1471,1,15,-1
31,1.333088,52.166.239.43,192.168.67.64,60,0,-1,8 11 
32,1.336317,192.168.67.64,52.166.239.43,1471,1,16,-1
33,1.336347,192.168.67.64,52.166.239.43,1471,1,17,-1
34,1.336360,192.168.67.64,52.166.239.43,1471,1,18,-1
35,1.336371,192.168.67.64,52.166.239.43,1471,1,19,-1
36,1.336381,192.168.67.64,52.166.239.43,1471,1,20,-1
37,1.336392,192.168.67.64,52.166.239.43,1471,1,21,-1
38,1.336402,192.168.67.64,52.166.239.43,1471,1,22,-1
39,1.336413,192.168.67.64,52.166.239.43,296,1,23,-1
40,1.382309,52.166.239.43,192.168.67.64,60,0,-1,12 15 
41,1.543635,52.166.239.43,192.168.67.64,60,0,-1,16 
42,1.567613,52.166.239.43,192.168.67.64,60,0,-1,17 23 
43,1.567613,52.166.239.43,192.168.67.64,395,0,2,-1
44,1.585984,192.168.67.64,52.166.239.43,49,1,-1,2 
45,1.596867,192.168.67.64,52.166.239.43,69,1,24,-1
46,1.824378,52.166.239.43,192.168.67.64,60,0,-1,24 
47,1.824378,52.166.239.43,192.168.67.64,131,0,3,-1
48,1.836147,192.168.67.64,52.166.239.43,49,1,-1,3 
49,1.836182,192.168.67.64,52.166.239.43,71,1,25,-1
50,1.857898,192.168.67.64,52.166.239.43,72,1,26,-1
51,2.064099,52.166.239.43,192.168.67.64,60,0,-1,25 
52,2.094285,52.166.239.43,192.168.67.64,60,0,-1,26 
53,2.094285,52.166.239.43,192.168.67.64,129,0,4,-1
54,2.107137,192.168.67.64,52.166.239.43,49,1,-1,4 
55,2.161525,192.168.67.64,52.166.239.43,72,1,27,-1
56,2.367991,52.166.239.43,192.168.67.64,60,0,-1,27 
57,2.415688,52.166.239.43,192.168.67.64,1497,0,5,-1
58,2.415776,52.166.239.43,192.168.67.64,1497,0,6,-1
