,time,src,dst,len,role
0,0.0,192.168.67.64,52.166.239.97,49,1
1,0.022430896759033203,52.166.239.97,192.168.67.64,402,0
2,0.04144287109375,52.166.239.97,192.168.67.64,135,0
3,0.04268503189086914,192.168.67.64,52.166.239.97,52,1
4,0.06401681900024414,52.166.239.97,192.168.67.64,379,0
5,0.07532191276550293,192.168.67.64,52.166.239.97,49,1
6,0.08630084991455078,52.166.239.97,192.168.67.64,129,0
7,0.0970759391784668,192.168.67.64,52.166.239.97,49,1
8,0.10974884033203125,52.166.239.97,192.168.67.64,379,0
9,0.12920594215393066,192.168.67.64,52.166.239.97,49,1
10,0.12921786308288574,52.166.239.97,192.168.67.64,200,0
11,0.14012503623962402,192.168.67.64,52.166.239.97,49,1
12,0.17121386528015137,52.166.239.97,192.168.67.64,60,0
13,0.17125582695007324,52.166.239.97,192.168.67.64,499,0
14,0.18358302116394043,192.168.67.64,52.166.239.97,49,1
15,0.1904468536376953,52.166.239.97,192.168.67.64,104,0
16,0.20533299446105957,192.168.67.64,52.166.239.97,49,1
17,0.21546387672424316,52.166.239.97,192.168.67.64,423,0
18,0.2271108627319336,192.168.67.64,52.166.239.97,49,1
19,0.24491500854492188,52.166.239.97,192.168.67.64,135,0
20,0.25611090660095215,52.166.239.97,192.168.67.64,103,0
21,0.2597169876098633,192.168.67.64,52.166.239.97,52,1
22,0.2775089740753174,52.166.239.97,192.168.67.64,435,0
23,0.29233884811401367,192.168.67.64,52.166.239.97,49,1
24,0.2974209785461426,52.166.239.97,192.168.67.64,104,0
25,0.3140900135040283,192.168.67.64,52.166.239.97,49,1
26,0.32190895080566406,52.166.239.97,192.168.67.64,452,0
27,0.33583688735961914,192.168.67.64,52.166.239.97,49,1
28,0.36003804206848145,52.166.239.97,192.168.67.64,129,0
29,0.36358189582824707,52.166.239.97,192.168.67.64,103,0
30,0.37934184074401855,192.168.67.64,52.166.239.97,52,1
31,0.3884110450744629,52.166.239.97,192.168.67.64,531,0
32,0.40108799934387207,192.168.67.64,52.166.239.97,49,1
33,0.4309229850769043,52.166.239.97,192.168.67.64,167,0
34,0.4445929527282715,192.168.67.64,52.166.239.97,49,1
