,time,src,dst,len,role
0,0.0,192.168.67.64,52.166.239.43,75,1
1,0.010969877243041992,192.168.67.64,52.166.239.43,1506,1
2,0.20699405670166016,52.166.239.43,192.168.67.64,168,0
3,0.2183229923248291,52.166.239.43,192.168.67.64,70,0
4,0.22377705574035645,192.168.67.64,52.166.239.43,76,1
5,0.4336390495300293,52.166.239.43,192.168.67.64,77,0
6,0.4383890628814697,192.168.67.64,52.166.239.43,70,1
7,0.6535918712615967,52.166.239.43,192.168.67.64,152,0
8,0.6657900810241699,52.166.239.43,192.168.67.64,60,0
9,0.6670479774475098,192.168.67.64,52.166.239.43,49,1
10,0.6670770645141602,192.168.67.64,52.166.239.43,232,1
11,0.6670880317687988,192.168.67.64,52.166.239.43,58,1
12,0.7456040382385254,192.168.67.64,52.166.239.43,1471,1
13,0.8742311000823975,52.166.239.43,192.168.67.64,73,0
14,0.8742311000823975,52.166.239.43,192.168.67.64,73,0
15,0.8879189491271973,192.168.67.64,52.166.239.43,52,1
16,0.8890929222106934,52.166.239.43,192.168.67.64,60,0
17,0.8935649394989014,192.168.67.64,52.166.239.43,1471,1
18,0.8936810493469238,192.168.67.64,52.166.239.43,1471,1
19,0.9569170475006104,52.166.239.43,192.168.67.64,60,0
20,0.9592390060424805,192.168.67.64,52.166.239.43,1471,1
21,0.9592719078063965,192.168.67.64,52.166.239.43,1471,1
22,1.1013031005859375,52.166.239.43,192.168.67.64,60,0
23,1.1036949157714844,192.168.67.64,52.166.239.43,1471,1
24,1.1037940979003906,192.168.67.64,52.166.239.43,1471,1
25,1.121669054031372,52.166.239.43,192.168.67.64,60,0
26,1.1238338947296143,192.168.67.64,52.166.239.43,1471,1
27,1.1239259243011475,192.168.67.64,52.166.239.43,1471,1
28,1.1672120094299316,52.166.239.43,192.168.67.64,60,0
29,1.16982102394104,192.168.67.64,52.166.239.43,1471,1
30,1.1699159145355225,192.168.67.64,52.166.239.43,1471,1
31,1.1963789463043213,52.166.239.43,192.168.67.64,60,0
32,1.1991190910339355,192.168.67.64,52.166.239.43,1471,1
33,1.1992368698120117,192.168.67.64,52.166.239.43,1471,1
34,1.3397400379180908,52.166.239.43,192.168.67.64,60,0
35,1.3427379131317139,192.168.67.64,52.166.239.43,1471,1
36,1.3428289890289307,192.168.67.64,52.166.239.43,1471,1
37,1.3429548740386963,192.168.67.64,52.166.239.43,1471,1
38,1.3431010246276855,192.168.67.64,52.166.239.43,1471,1
39,1.344635009765625,192.168.67.64,52.166.239.43,1471,1
40,1.3447539806365967,192.168.67.64,52.166.239.43,1471,1
41,1.362534999847412,52.166.239.43,192.168.67.64,60,0
42,1.3651950359344482,192.168.67.64,52.166.239.43,1471,1
43,1.3659660816192627,192.168.67.64,52.166.239.43,247,1
44,1.4024269580841064,52.166.239.43,192.168.67.64,60,0
45,1.4288198947906494,52.166.239.43,192.168.67.64,60,0
46,1.5753769874572754,52.166.239.43,192.168.67.64,60,0
47,1.59562087059021,52.166.239.43,192.168.67.64,60,0
48,1.6068909168243408,52.166.239.43,192.168.67.64,398,0
49,1.620668888092041,192.168.67.64,52.166.239.43,49,1
50,1.6426808834075928,192.168.67.64,52.166.239.43,69,1
51,1.8550429344177246,52.166.239.43,192.168.67.64,131,0
52,1.8550429344177246,52.166.239.43,192.168.67.64,60,0
53,1.8690950870513916,192.168.67.64,52.166.239.43,49,1
54,1.9047648906707764,192.168.67.64,52.166.239.43,71,1
55,1.9463109970092773,192.168.67.64,52.166.239.43,72,1
56,2.1304118633270264,52.166.239.43,192.168.67.64,60,0
57,2.1893348693847656,52.166.239.43,192.168.67.64,60,0
58,2.1893348693847656,52.166.239.43,192.168.67.64,129,0
59,2.202338933944702,192.168.67.64,52.166.239.43,49,1
60,2.4227120876312256,192.168.67.64,52.166.239.43,72,1
61,2.7607169151306152,52.166.239.43,192.168.67.64,1497,0
62,2.7608249187469482,52.166.239.43,192.168.67.64,1497,0
63,2.760964870452881,52.166.239.43,192.168.67.64,1497,0
64,2.7610950469970703,52.166.239.43,192.168.67.64,1497,0
65,2.762377977371216,52.166.239.43,192.168.67.64,1497,0
66,2.7624728679656982,52.166.239.43,192.168.67.64,1497,0
67,2.7626218795776367,52.166.239.43,192.168.67.64,1497,0
68,2.7627530097961426,52.166.239.43,192.168.67.64,1497,0
69,2.764147996902466,52.166.239.43,192.168.67.64,1497,0
70,2.7642710208892822,52.166.239.43,192.168.67.64,1497,0
71,2.764431953430176,52.166.239.43,192.168.67.64,1497,0
72,2.7645530700683594,52.166.239.43,192.168.67.64,1497,0
73,2.7667059898376465,52.166.239.43,192.168.67.64,1497,0
74,2.766839027404785,52.166.239.43,192.168.67.64,1497,0
75,2.7669899463653564,52.166.239.43,192.168.67.64,1497,0
76,2.7671220302581787,52.166.239.43,192.168.67.64,1497,0
77,2.7685139179229736,52.166.239.43,192.168.67.64,1497,0
78,2.76863694190979,52.166.239.43,192.168.67.64,1497,0
79,2.768786907196045,52.166.239.43,192.168.67.64,1497,0
80,2.768918037414551,52.166.239.43,192.168.67.64,1497,0
81,2.7701809406280518,52.166.239.43,192.168.67.64,1497,0
82,2.770305871963501,52.166.239.43,192.168.67.64,1497,0
83,2.7704548835754395,52.166.239.43,192.168.67.64,1497,0
84,2.770585060119629,52.166.239.43,192.168.67.64,1497,0
85,2.7718610763549805,52.166.239.43,192.168.67.64,1497,0
86,2.7719810009002686,52.166.239.43,192.168.67.64,1497,0
87,2.7721328735351562,52.166.239.43,192.168.67.64,1497,0
88,2.7722620964050293,52.166.239.43,192.168.67.64,1497,0
89,2.7734460830688477,52.166.239.43,192.168.67.64,1497,0
90,2.7735750675201416,52.166.239.43,192.168.67.64,1497,0
91,2.773725986480713,52.166.239.43,192.168.67.64,1497,0
92,2.7738568782806396,52.166.239.43,192.168.67.64,1497,0
93,2.774169921875,52.166.239.43,192.168.67.64,1497,0
94,2.7743048667907715,52.166.239.43,192.168.67.64,1497,0
95,2.7744529247283936,52.166.239.43,192.168.67.64,1497,0
96,2.7745840549468994,52.166.239.43,192.168.67.64,1497,0
97,2.774838924407959,192.168.67.64,52.166.239.43,52,1
98,2.776733875274658,52.166.239.43,192.168.67.64,1497,0
99,2.7768590450286865,52.166.239.43,192.168.67.64,1497,0
100,2.777008056640625,52.166.239.43,192.168.67.64,1497,0
101,2.7771389484405518,52.166.239.43,192.168.67.64,1497,0
102,2.77744197845459,52.166.239.43,192.168.67.64,1497,0
103,2.777574062347412,52.166.239.43,192.168.67.64,1497,0
104,2.777726888656616,52.166.239.43,192.168.67.64,1497,0
105,2.7778570652008057,52.166.239.43,192.168.67.64,1497,0
106,2.7799599170684814,52.166.239.43,192.168.67.64,1497,0
107,2.780090093612671,52.166.239.43,192.168.67.64,1497,0
108,2.7802419662475586,52.166.239.43,192.168.67.64,1497,0
109,2.7803709506988525,52.166.239.43,192.168.67.64,1497,0
110,2.7816150188446045,52.166.239.43,192.168.67.64,1497,0
111,2.7817490100860596,52.166.239.43,192.168.67.64,1497,0
112,2.7818989753723145,52.166.239.43,192.168.67.64,1497,0
113,2.782028913497925,52.166.239.43,192.168.67.64,1497,0
114,2.7834389209747314,52.166.239.43,192.168.67.64,1497,0
115,2.783557891845703,52.166.239.43,192.168.67.64,1497,0
116,2.7837069034576416,52.166.239.43,192.168.67.64,1497,0
117,2.783838987350464,52.166.239.43,192.168.67.64,1497,0
118,2.784205913543701,52.166.239.43,192.168.67.64,1497,0
119,2.7843430042266846,52.166.239.43,192.168.67.64,1497,0
120,2.7844889163970947,52.166.239.43,192.168.67.64,1497,0
121,2.7846200466156006,52.166.239.43,192.168.67.64,1497,0
122,2.786501884460449,52.166.239.43,192.168.67.64,1497,0
123,2.786630868911743,52.166.239.43,192.168.67.64,1497,0
124,2.7867820262908936,52.166.239.43,192.168.67.64,1497,0
125,2.786911964416504,52.166.239.43,192.168.67.64,1497,0
126,2.7871720790863037,192.168.67.64,52.166.239.43,52,1
127,2.788367986679077,52.166.239.43,192.168.67.64,1497,0
128,2.788367986679077,52.166.239.43,192.168.67.64,60,0
129,2.7884109020233154,52.166.239.43,192.168.67.64,326,0
130,2.788546085357666,52.166.239.43,192.168.67.64,1497,0
131,2.788696050643921,52.166.239.43,192.168.67.64,1497,0
132,2.7888259887695312,52.166.239.43,192.168.67.64,1497,0
133,2.789341926574707,52.166.239.43,192.168.67.64,1497,0
134,2.7894749641418457,52.166.239.43,192.168.67.64,1497,0
135,2.789625883102417,52.166.239.43,192.168.67.64,1497,0
136,2.789757013320923,52.166.239.43,192.168.67.64,1497,0
137,2.790076971054077,192.168.67.64,52.166.239.43,49,1
138,2.7926759719848633,192.168.67.64,52.166.239.43,52,1
139,2.79306697845459,52.166.239.43,192.168.67.64,1497,0
140,2.793195962905884,52.166.239.43,192.168.67.64,1497,0
141,2.793346881866455,52.166.239.43,192.168.67.64,1497,0
142,2.7934770584106445,52.166.239.43,192.168.67.64,1497,0
143,2.793771982192993,52.166.239.43,192.168.67.64,1497,0
144,2.793905019760132,52.166.239.43,192.168.67.64,1497,0
145,2.794055938720703,52.166.239.43,192.168.67.64,1497,0
146,2.7941858768463135,52.166.239.43,192.168.67.64,1497,0
147,2.7962260246276855,52.166.239.43,192.168.67.64,1497,0
148,2.7963600158691406,52.166.239.43,192.168.67.64,1497,0
149,2.796509027481079,52.166.239.43,192.168.67.64,1497,0
150,2.796639919281006,52.166.239.43,192.168.67.64,1497,0
151,2.79789400100708,52.166.239.43,192.168.67.64,1497,0
152,2.798017978668213,52.166.239.43,192.168.67.64,1497,0
153,2.7981679439544678,52.166.239.43,192.168.67.64,1497,0
154,2.798297882080078,52.166.239.43,192.168.67.64,1497,0
155,2.798701047897339,52.166.239.43,192.168.67.64,1497,0
156,2.798835039138794,52.166.239.43,192.168.67.64,1497,0
157,2.798987865447998,52.166.239.43,192.168.67.64,1497,0
158,2.7991158962249756,52.166.239.43,192.168.67.64,1497,0
159,2.8009719848632812,52.166.239.43,192.168.67.64,1497,0
160,2.8011019229888916,52.166.239.43,192.168.67.64,1497,0
161,2.80125093460083,52.166.239.43,192.168.67.64,1497,0
162,2.801382064819336,52.166.239.43,192.168.67.64,1497,0
163,2.802608013153076,52.166.239.43,192.168.67.64,1497,0
164,2.802741050720215,52.166.239.43,192.168.67.64,1497,0
165,2.8028910160064697,52.166.239.43,192.168.67.64,1497,0
166,2.803023099899292,52.166.239.43,192.168.67.64,1497,0
167,2.804213047027588,192.168.67.64,52.166.239.43,52,1
168,2.804814100265503,52.166.239.43,192.168.67.64,1497,0
169,2.8048510551452637,52.166.239.43,192.168.67.64,739,0
170,2.8069310188293457,192.168.67.64,52.166.239.43,52,1
171,2.825597047805786,52.166.239.43,192.168.67.64,1497,0
172,2.8257110118865967,52.166.239.43,192.168.67.64,1497,0
173,2.8271119594573975,52.166.239.43,192.168.67.64,1497,0
174,2.8272218704223633,52.166.239.43,192.168.67.64,1497,0
175,2.8273720741271973,52.166.239.43,192.168.67.64,1497,0
176,2.827502965927124,52.166.239.43,192.168.67.64,1497,0
177,2.8278510570526123,52.166.239.43,192.168.67.64,1497,0
178,2.827986001968384,52.166.239.43,192.168.67.64,1497,0
179,2.828136920928955,52.166.239.43,192.168.67.64,1497,0
180,2.8282670974731445,52.166.239.43,192.168.67.64,1497,0
181,2.8302180767059326,52.166.239.43,192.168.67.64,1497,0
182,2.830349922180176,52.166.239.43,192.168.67.64,1497,0
183,2.830501079559326,52.166.239.43,192.168.67.64,1497,0
184,2.830615997314453,52.166.239.43,192.168.67.64,1497,0
185,2.8317840099334717,52.166.239.43,192.168.67.64,1497,0
186,2.831916093826294,52.166.239.43,192.168.67.64,1497,0
187,2.832066059112549,52.166.239.43,192.168.67.64,1497,0
188,2.8321969509124756,52.166.239.43,192.168.67.64,1497,0
189,2.8335800170898438,52.166.239.43,192.168.67.64,1497,0
190,2.83370304107666,52.166.239.43,192.168.67.64,1497,0
191,2.8338539600372314,52.166.239.43,192.168.67.64,1497,0
192,2.833981990814209,52.166.239.43,192.168.67.64,1497,0
193,2.835218906402588,52.166.239.43,192.168.67.64,1497,0
194,2.8353419303894043,52.166.239.43,192.168.67.64,1497,0
195,2.835491895675659,52.166.239.43,192.168.67.64,1497,0
196,2.835623025894165,52.166.239.43,192.168.67.64,1497,0
197,2.836894989013672,52.166.239.43,192.168.67.64,1497,0
198,2.8370208740234375,52.166.239.43,192.168.67.64,1497,0
199,2.8371710777282715,52.166.239.43,192.168.67.64,1497,0
200,2.8373029232025146,52.166.239.43,192.168.67.64,1497,0
201,2.837559938430786,52.166.239.43,192.168.67.64,1497,0
202,2.837691068649292,52.166.239.43,192.168.67.64,1497,0
203,2.837843894958496,52.166.239.43,192.168.67.64,1497,0
204,2.8379759788513184,52.166.239.43,192.168.67.64,1497,0
205,2.839840888977051,192.168.67.64,52.166.239.43,52,1
206,2.8401639461517334,52.166.239.43,192.168.67.64,1497,0
207,2.840296983718872,52.166.239.43,192.168.67.64,1497,0
208,2.840446949005127,52.166.239.43,192.168.67.64,1497,0
209,2.840578079223633,52.166.239.43,192.168.67.64,1497,0
210,2.8408350944519043,52.166.239.43,192.168.67.64,1497,0
211,2.840970039367676,52.166.239.43,192.168.67.64,1497,0
212,2.8411200046539307,52.166.239.43,192.168.67.64,1497,0
213,2.8412508964538574,52.166.239.43,192.168.67.64,1497,0
214,2.841507911682129,52.166.239.43,192.168.67.64,1497,0
215,2.8416430950164795,52.166.239.43,192.168.67.64,1497,0
216,2.841794013977051,52.166.239.43,192.168.67.64,1497,0
217,2.8419249057769775,52.166.239.43,192.168.67.64,1497,0
218,2.842184066772461,52.166.239.43,192.168.67.64,1497,0
219,2.8423168659210205,52.166.239.43,192.168.67.64,1497,0
220,2.8424670696258545,52.166.239.43,192.168.67.64,1497,0
221,2.8425979614257812,52.166.239.43,192.168.67.64,1497,0
222,2.842855930328369,52.166.239.43,192.168.67.64,1497,0
223,2.842988967895508,52.166.239.43,192.168.67.64,1497,0
224,2.8431389331817627,52.166.239.43,192.168.67.64,1497,0
225,2.843271017074585,52.166.239.43,192.168.67.64,1497,0
226,2.84352707862854,52.166.239.43,192.168.67.64,1497,0
227,2.843661069869995,52.166.239.43,192.168.67.64,1497,0
228,2.843812942504883,52.166.239.43,192.168.67.64,1497,0
229,2.843942880630493,52.166.239.43,192.168.67.64,1497,0
230,2.844421863555908,52.166.239.43,192.168.67.64,1497,0
231,2.844552993774414,52.166.239.43,192.168.67.64,1497,0
232,2.844701051712036,52.166.239.43,192.168.67.64,1497,0
233,2.8448309898376465,52.166.239.43,192.168.67.64,1497,0
234,2.846874952316284,52.166.239.43,192.168.67.64,1497,0
235,2.847007989883423,52.166.239.43,192.168.67.64,1497,0
236,2.8471579551696777,52.166.239.43,192.168.67.64,1497,0
237,2.8472900390625,52.166.239.43,192.168.67.64,1497,0
238,2.8534200191497803,192.168.67.64,52.166.239.43,52,1
239,2.8538708686828613,52.166.239.43,192.168.67.64,1497,0
240,2.8540050983428955,52.166.239.43,192.168.67.64,1497,0
241,2.854153871536255,52.166.239.43,192.168.67.64,1497,0
242,2.8542850017547607,52.166.239.43,192.168.67.64,1497,0
243,2.8554720878601074,52.166.239.43,192.168.67.64,1497,0
244,2.8556079864501953,52.166.239.43,192.168.67.64,1497,0
245,2.8557589054107666,52.166.239.43,192.168.67.64,1497,0
246,2.8558878898620605,52.166.239.43,192.168.67.64,1497,0
247,2.8570780754089355,52.166.239.43,192.168.67.64,1497,0
248,2.857213020324707,52.166.239.43,192.168.67.64,1497,0
249,2.8573620319366455,52.166.239.43,192.168.67.64,1497,0
250,2.857491970062256,52.166.239.43,192.168.67.64,1497,0
251,2.8591160774230957,52.166.239.43,192.168.67.64,1497,0
252,2.8592400550842285,52.166.239.43,192.168.67.64,1497,0
253,2.8593909740448,52.166.239.43,192.168.67.64,1497,0
254,2.8595218658447266,52.166.239.43,192.168.67.64,1497,0
255,2.859833002090454,52.166.239.43,192.168.67.64,1497,0
256,2.8599679470062256,52.166.239.43,192.168.67.64,1497,0
257,2.8601179122924805,52.166.239.43,192.168.67.64,1497,0
258,2.8602490425109863,52.166.239.43,192.168.67.64,1497,0
259,2.8620970249176025,52.166.239.43,192.168.67.64,1497,0
260,2.8622329235076904,52.166.239.43,192.168.67.64,1497,0
261,2.862384080886841,52.166.239.43,192.168.67.64,1497,0
262,2.862515926361084,52.166.239.43,192.168.67.64,1497,0
263,2.862844944000244,52.166.239.43,192.168.67.64,1497,0
264,2.8629770278930664,52.166.239.43,192.168.67.64,1497,0
265,2.863128900527954,52.166.239.43,192.168.67.64,1497,0
266,2.8632590770721436,52.166.239.43,192.168.67.64,1497,0
267,2.8651180267333984,192.168.67.64,52.166.239.43,52,1
268,2.8655810356140137,52.166.239.43,192.168.67.64,1497,0
269,2.8657190799713135,52.166.239.43,192.168.67.64,1497,0
270,2.8658690452575684,52.166.239.43,192.168.67.64,1497,0
271,2.865999937057495,52.166.239.43,192.168.67.64,1497,0
272,2.8663220405578613,52.166.239.43,192.168.67.64,1497,0
273,2.866455078125,52.166.239.43,192.168.67.64,1497,0
274,2.8666059970855713,52.166.239.43,192.168.67.64,1497,0
275,2.8667359352111816,52.166.239.43,192.168.67.64,1497,0
276,2.868666887283325,52.166.239.43,192.168.67.64,1497,0
277,2.8687970638275146,52.166.239.43,192.168.67.64,1497,0
278,2.8689448833465576,52.166.239.43,192.168.67.64,1497,0
279,2.869075059890747,52.166.239.43,192.168.67.64,1497,0
280,2.8703620433807373,52.166.239.43,192.168.67.64,1497,0
281,2.8704800605773926,52.166.239.43,192.168.67.64,1497,0
282,2.8706300258636475,52.166.239.43,192.168.67.64,1497,0
283,2.870760917663574,52.166.239.43,192.168.67.64,1497,0
284,2.871922016143799,52.166.239.43,192.168.67.64,1497,0
285,2.872056007385254,52.166.239.43,192.168.67.64,1497,0
286,2.872205972671509,52.166.239.43,192.168.67.64,1497,0
287,2.8723418712615967,52.166.239.43,192.168.67.64,1497,0
288,2.8734710216522217,52.166.239.43,192.168.67.64,1207,0
289,2.875290870666504,192.168.67.64,52.166.239.43,52,1
290,2.875300884246826,192.168.67.64,52.166.239.43,52,1
291,2.8765010833740234,52.166.239.43,192.168.67.64,1497,0
292,2.8766350746154785,52.166.239.43,192.168.67.64,1497,0
