,time,src,dst,len,role,seq,ack
0,0.000000,192.168.67.64,52.166.239.43,75,1,-1,-1
1,0.010970,192.168.67.64,52.166.239.43,1506,1,-1,-1
2,0.206994,52.166.239.43,192.168.67.64,168,0,-1,-1
3,0.218323,52.166.239.43,192.168.67.64,70,0,-1,-1
4,0.223777,192.168.67.64,52.166.239.43,76,1,-1,-1
5,0.433639,52.166.239.43,192.168.67.64,77,0,-1,-1
6,0.438389,192.168.67.64,52.166.239.43,70,1,0,-1
7,0.653592,52.166.239.43,192.168.67.64,152,0,-1,-1
8,0.665790,52.166.239.43,192.168.67.64,60,0,-1,0 
9,0.667048,192.168.67.64,52.166.239.43,49,1,-1,0 
10,0.667077,192.168.67.64,52.166.239.43,232,1,1,-1
11,0.667088,192.168.67.64,52.166.239.43,58,1,2,-1
12,0.745604,192.168.67.64,52.166.239.43,1471,1,3,-1
13,0.874231,52.166.239.43,192.168.67.64,73,0,-1,-1
14,0.874231,52.166.239.43,192.168.67.64,73,0,-1,-1
15,0.887919,192.168.67.64,52.166.239.43,52,1,-1,1 2 
16,0.889093,52.166.239.43,192.168.67.64,60,0,-1,1 2 
17,0.893565,192.168.67.64,52.166.239.43,1471,1,4,-1
18,0.893681,192.168.67.64,52.166.239.43,1471,1,5,-1
19,0.956917,52.166.239.43,192.168.67.64,60,0,-1,3 
20,0.959239,192.168.67.64,52.166.239.43,1471,1,6,-1
21,0.959272,192.168.67.64,52.166.239.43,1471,1,7,-1
22,1.101303,52.166.239.43,192.168.67.64,60,0,-1,4 
23,1.103695,192.168.67.64,52.166.239.43,1471,1,8,-1
24,1.103794,192.168.67.64,52.166.239.43,1471,1,9,-1
25,1.121669,52.166.239.43,192.168.67.64,60,0,-1,5 
26,1.123834,192.168.67.64,52.166.239.43,1471,1,10,-1
27,1.123926,192.168.67.64,52.166.239.43,1471,1,11,-1
28,1.167212,52.166.239.43,192.168.67.64,60,0,-1,6 
29,1.169821,192.168.67.64,52.166.239.43,1471,1,12,-1
30,1.169916,192.168.67.64,52.166.239.43,1471,1,13,-1
31,1.196379,52.166.239.43,192.168.67.64,60,0,-1,7 
32,1.199119,192.168.67.64,52.166.239.43,1471,1,14,-1
33,1.199237,192.168.67.64,52.166.239.43,1471,1,15,-1
34,1.339740,52.166.239.43,192.168.67.64,60,0,-1,8 10 
35,1.342738,192.168.67.64,52.166.239.43,1471,1,16,-1
36,1.342829,192.168.67.64,52.166.239.43,1471,1,17,-1
37,1.342955,192.168.67.64,52.166.239.43,1471,1,18,-1
38,1.343101,192.168.67.64,52.166.239.43,1471,1,19,-1
39,1.344635,192.168.67.64,52.166.239.43,1471,1,20,-1
40,1.344754,192.168.67.64,52.166.239.43,1471,1,21,-1
41,1.362535,52.166.239.43,192.168.67.64,60,0,-1,11 
42,1.365195,192.168.67.64,52.166.239.43,1471,1,22,-1
43,1.365966,192.168.67.64,52.166.239.43,247,1,23,-1
44,1.402427,52.166.239.43,192.168.67.64,60,0,-1,12 13 
45,1.428820,52.166.239.43,192.168.67.64,60,0,-1,14 15 
46,1.575377,52.166.239.43,192.168.67.64,60,0,-1,16 21 
47,1.595621,52.166.239.43,192.168.67.64,60,0,-1,22 23 
48,1.606891,52.166.239.43,192.168.67.64,398,0,3,-1
49,1.620669,192.168.67.64,52.166.239.43,49,1,-1,3 
50,1.642681,192.168.67.64,52.166.239.43,69,1,24,-1
51,1.855043,52.166.239.43,192.168.67.64,131,0,4,-1
52,1.855043,52.166.239.43,192.168.67.64,60,0,-1,24 
53,1.869095,192.168.67.64,52.166.239.43,49,1,-1,4 
54,1.904765,192.168.67.64,52.166.239.43,71,1,25,-1
55,1.946311,192.168.67.64,52.166.239.43,72,1,26,-1
56,2.130412,52.166.239.43,192.168.67.64,60,0,-1,25 
57,2.189335,52.166.239.43,192.168.67.64,60,0,-1,26 
58,2.189335,52.166.239.43,192.168.67.64,129,0,5,-1
59,2.202339,192.168.67.64,52.166.239.43,49,1,-1,5 
60,2.422712,192.168.67.64,52.166.239.43,72,1,27,-1
61,2.760717,52.166.239.43,192.168.67.64,1497,0,6,-1
62,2.760825,52.166.239.43,192.168.67.64,1497,0,7,-1
63,2.760965,52.166.239.43,192.168.67.64,1497,0,8,-1
64,2.761095,52.166.239.43,192.168.67.64,1497,0,9,-1
65,2.762378,52.166.239.43,192.168.67.64,1497,0,10,-1
66,2.762473,52.166.239.43,192.168.67.64,1497,0,11,-1
67,2.762622,52.166.239.43,192.168.67.64,1497,0,12,-1
68,2.762753,52.166.239.43,192.168.67.64,1497,0,13,-1
69,2.764148,52.166.239.43,192.168.67.64,1497,0,14,-1
70,2.764271,52.166.239.43,192.168.67.64,1497,0,15,-1
71,2.764432,52.166.239.43,192.168.67.64,1497,0,16,-1
72,2.764553,52.166.239.43,192.168.67.64,1497,0,17,-1
73,2.766706,52.166.239.43,192.168.67.64,1497,0,18,-1
74,2.766839,52.166.239.43,192.168.67.64,1497,0,19,-1
75,2.766990,52.166.239.43,192.168.67.64,1497,0,20,-1
76,2.767122,52.166.239.43,192.168.67.64,1497,0,21,-1
77,2.768514,52.166.239.43,192.168.67.64,1497,0,22,-1
78,2.768637,52.166.239.43,192.168.67.64,1497,0,23,-1
79,2.768787,52.166.239.43,192.168.67.64,1497,0,24,-1
80,2.768918,52.166.239.43,192.168.67.64,1497,0,25,-1
81,2.770181,52.166.239.43,192.168.67.64,1497,0,26,-1
82,2.770306,52.166.239.43,192.168.67.64,1497,0,27,-1
83,2.770455,52.166.239.43,192.168.67.64,1497,0,28,-1
84,2.770585,52.166.239.43,192.168.67.64,1497,0,29,-1
85,2.771861,52.166.239.43,192.168.67.64,1497,0,30,-1
86,2.771981,52.166.239.43,192.168.67.64,1497,0,31,-1
87,2.772133,52.166.239.43,192.168.67.64,1497,0,32,-1
88,2.772262,52.166.239.43,192.168.67.64,1497,0,33,-1
89,2.773446,52.166.239.43,192.168.67.64,1497,0,34,-1
90,2.773575,52.166.239.43,192.168.67.64,1497,0,35,-1
91,2.773726,52.166.239.43,192.168.67.64,1497,0,36,-1
92,2.773857,52.166.239.43,192.168.67.64,1497,0,37,-1
93,2.774170,52.166.239.43,192.168.67.64,1497,0,38,-1
94,2.774305,52.166.239.43,192.168.67.64,1497,0,39,-1
95,2.774453,52.166.239.43,192.168.67.64,1497,0,40,-1
96,2.774584,52.166.239.43,192.168.67.64,1497,0,41,-1
97,2.774839,192.168.67.64,52.166.239.43,52,1,-1,6 33 
98,2.776734,52.166.239.43,192.168.67.64,1497,0,42,-1
99,2.776859,52.166.239.43,192.168.67.64,1497,0,43,-1
100,2.777008,52.166.239.43,192.168.67.64,1497,0,44,-1
101,2.777139,52.166.239.43,192.168.67.64,1497,0,45,-1
102,2.777442,52.166.239.43,192.168.67.64,1497,0,46,-1
103,2.777574,52.166.239.43,192.168.67.64,1497,0,47,-1
104,2.777727,52.166.239.43,192.168.67.64,1497,0,48,-1
105,2.777857,52.166.239.43,192.168.67.64,1497,0,49,-1
106,2.779960,52.166.239.43,192.168.67.64,1497,0,50,-1
107,2.780090,52.166.239.43,192.168.67.64,1497,0,51,-1
108,2.780242,52.166.239.43,192.168.67.64,1497,0,52,-1
109,2.780371,52.166.239.43,192.168.67.64,1497,0,53,-1
110,2.781615,52.166.239.43,192.168.67.64,1497,0,54,-1
111,2.781749,52.166.239.43,192.168.67.64,1497,0,55,-1
112,2.781899,52.166.239.43,192.168.67.64,1497,0,56,-1
113,2.782029,52.166.239.43,192.168.67.64,1497,0,57,-1
114,2.783439,52.166.239.43,192.168.67.64,1497,0,58,-1
115,2.783558,52.166.239.43,192.168.67.64,1497,0,59,-1
116,2.783707,52.166.239.43,192.168.67.64,1497,0,60,-1
117,2.783839,52.166.239.43,192.168.67.64,1497,0,61,-1
118,2.784206,52.166.239.43,192.168.67.64,1497,0,62,-1
119,2.784343,52.166.239.43,192.168.67.64,1497,0,63,-1
120,2.784489,52.166.239.43,192.168.67.64,1497,0,64,-1
121,2.784620,52.166.239.43,192.168.67.64,1497,0,65,-1
122,2.786502,52.166.239.43,192.168.67.64,1497,0,66,-1
123,2.786631,52.166.239.43,192.168.67.64,1497,0,68,-1
124,2.786782,52.166.239.43,192.168.67.64,1497,0,67,-1
125,2.786912,52.166.239.43,192.168.67.64,1497,0,69,-1
126,2.787172,192.168.67.64,52.166.239.43,52,1,-1,34 59 
127,2.788368,52.166.239.43,192.168.67.64,1497,0,70,-1
128,2.788368,52.166.239.43,192.168.67.64,60,0,-1,27 
129,2.788411,52.166.239.43,192.168.67.64,326,0,71,-1
130,2.788546,52.166.239.43,192.168.67.64,1497,0,72,-1
131,2.788696,52.166.239.43,192.168.67.64,1497,0,73,-1
132,2.788826,52.166.239.43,192.168.67.64,1497,0,74,-1
133,2.789342,52.166.239.43,192.168.67.64,1497,0,75,-1
134,2.789475,52.166.239.43,192.168.67.64,1497,0,76,-1
135,2.789626,52.166.239.43,192.168.67.64,1497,0,77,-1
136,2.789757,52.166.239.43,192.168.67.64,1497,0,78,-1
137,2.790077,192.168.67.64,52.166.239.43,49,1,-1,-1
138,2.792676,192.168.67.64,52.166.239.43,52,1,-1,60 71 
139,2.793067,52.166.239.43,192.168.67.64,1497,0,79,-1
140,2.793196,52.166.239.43,192.168.67.64,1497,0,80,-1
141,2.793347,52.166.239.43,192.168.67.64,1497,0,81,-1
142,2.793477,52.166.239.43,192.168.67.64,1497,0,82,-1
143,2.793772,52.166.239.43,192.168.67.64,1497,0,83,-1
144,2.793905,52.166.239.43,192.168.67.64,1497,0,84,-1
145,2.794056,52.166.239.43,192.168.67.64,1497,0,85,-1
146,2.794186,52.166.239.43,192.168.67.64,1497,0,86,-1
147,2.796226,52.166.239.43,192.168.67.64,1497,0,87,-1
148,2.796360,52.166.239.43,192.168.67.64,1497,0,88,-1
149,2.796509,52.166.239.43,192.168.67.64,1497,0,89,-1
150,2.796640,52.166.239.43,192.168.67.64,1497,0,90,-1
151,2.797894,52.166.239.43,192.168.67.64,1497,0,91,-1
152,2.798018,52.166.239.43,192.168.67.64,1497,0,92,-1
153,2.798168,52.166.239.43,192.168.67.64,1497,0,93,-1
154,2.798298,52.166.239.43,192.168.67.64,1497,0,94,-1
155,2.798701,52.166.239.43,192.168.67.64,1497,0,95,-1
156,2.798835,52.166.239.43,192.168.67.64,1497,0,96,-1
157,2.798988,52.166.239.43,192.168.67.64,1497,0,97,-1
158,2.799116,52.166.239.43,192.168.67.64,1497,0,98,-1
159,2.800972,52.166.239.43,192.168.67.64,1497,0,99,-1
160,2.801102,52.166.239.43,192.168.67.64,1497,0,100,-1
161,2.801251,52.166.239.43,192.168.67.64,1497,0,101,-1
162,2.801382,52.166.239.43,192.168.67.64,1497,0,102,-1
163,2.802608,52.166.239.43,192.168.67.64,1497,0,103,-1
164,2.802741,52.166.239.43,192.168.67.64,1497,0,104,-1
165,2.802891,52.166.239.43,192.168.67.64,1497,0,105,-1
166,2.803023,52.166.239.43,192.168.67.64,1497,0,106,-1
167,2.804213,192.168.67.64,52.166.239.43,52,1,-1,72 102 
168,2.804814,52.166.239.43,192.168.67.64,1497,0,107,-1
169,2.804851,52.166.239.43,192.168.67.64,739,0,108,-1
170,2.806931,192.168.67.64,52.166.239.43,52,1,-1,103 108 
171,2.825597,52.166.239.43,192.168.67.64,1497,0,109,-1
172,2.825711,52.166.239.43,192.168.67.64,1497,0,110,-1
173,2.827112,52.166.239.43,192.168.67.64,1497,0,111,-1
174,2.827222,52.166.239.43,192.168.67.64,1497,0,112,-1
175,2.827372,52.166.239.43,192.168.67.64,1497,0,113,-1
176,2.827503,52.166.239.43,192.168.67.64,1497,0,114,-1
177,2.827851,52.166.239.43,192.168.67.64,1497,0,115,-1
178,2.827986,52.166.239.43,192.168.67.64,1497,0,116,-1
179,2.828137,52.166.239.43,192.168.67.64,1497,0,117,-1
180,2.828267,52.166.239.43,192.168.67.64,1497,0,118,-1
181,2.830218,52.166.239.43,192.168.67.64,1497,0,119,-1
182,2.830350,52.166.239.43,192.168.67.64,1497,0,120,-1
183,2.830501,52.166.239.43,192.168.67.64,1497,0,121,-1
184,2.830616,52.166.239.43,192.168.67.64,1497,0,122,-1
185,2.831784,52.166.239.43,192.168.67.64,1497,0,123,-1
186,2.831916,52.166.239.43,192.168.67.64,1497,0,124,-1
187,2.832066,52.166.239.43,192.168.67.64,1497,0,125,-1
188,2.832197,52.166.239.43,192.168.67.64,1497,0,126,-1
189,2.833580,52.166.239.43,192.168.67.64,1497,0,127,-1
190,2.833703,52.166.239.43,192.168.67.64,1497,0,128,-1
191,2.833854,52.166.239.43,192.168.67.64,1497,0,129,-1
192,2.833982,52.166.239.43,192.168.67.64,1497,0,130,-1
193,2.835219,52.166.239.43,192.168.67.64,1497,0,131,-1
194,2.835342,52.166.239.43,192.168.67.64,1497,0,132,-1
195,2.835492,52.166.239.43,192.168.67.64,1497,0,133,-1
196,2.835623,52.166.239.43,192.168.67.64,1497,0,134,-1
197,2.836895,52.166.239.43,192.168.67.64,1497,0,135,-1
198,2.837021,52.166.239.43,192.168.67.64,1497,0,136,-1
199,2.837171,52.166.239.43,192.168.67.64,1497,0,137,-1
