,time,src,dst,seq,ack,len,payload,role
0,0.0,124.132.136.201,192.168.67.64,1,1,96,b'\x17Q\xbf\xd6\x1dS\x93\xf490\xd9\xf1>\xaf\xe3\xea\xf7y\x1b\xfe\xb6\x82P\x88\xa4j\xcf|\xb5Dr\xd6\x02\xc0\x97\xdb\xa3\x0eJ\xf3\x98\xa8E\x04\x86I=D.oCWP\xd9G6\xd1\x0c\xf4\xb3\x11\x04_9\x10\ry\xa3\t\x08#\xd1\x07K&\x08\x9b\x00\xfb\x98z\xcc\x89\xdc3\xf3\xfd\xca\x89\x19\x05\xfe\xb4e\x82\n',0
1,3.0994415283203125e-05,192.168.67.64,124.132.136.201,1,-203,0,,1
2,0.09920191764831543,124.132.136.201,192.168.67.64,243,1,193,"b'\x88\xbf\x07\x8f\xf8w\xb7\xce""\xc2?\xe5\x1b9\x90\x1e\x17\x85&B^\xa9\x02\x80\xb0P\xc1T@\x8b\xfa%\xdb\x8bhH\x04\xe7^\x1c$\xc7\xc7Z\xfc\xbe\xbb\xd58T\xd8\xe8\x01i[\x13\xf3\xf3\xf7~K\xc5\xdc\xc9\xd5\xef2\xce\x83\xcdz\x9fJj\xb9\x91!`h\x17v\xc6Q\xd8O\xe2\x87\xb9\xd5Qk\xdcS:+u\x957c\x9f\x870\x15*\xf6\xc8\xdc{a\x16\x06\x1d\n\xa4\xe9?\xc0\xdc\xc7h\xda\xd8\x9dU\xf7\xe2\xad9\xc7\xb8\x14Q\x04j\xa3\xab\xa2\xe5\xab\x15\x01x\x12o\xf4\x00o8\xba\xf0\x82\xb4J\x8e\x03\x92\xb6\xee\x1enB|\x87\xea\xb27\\\xe7h3=\xbb\xd0,\x83\xcd\xfb\xe0V\xa4\x9d;\xae\xef\x1d\x1b\x95\xcdeJt\xd8\xbe'",0
3,0.09923601150512695,192.168.67.64,124.132.136.201,1,-203,0,,1
4,0.15014886856079102,124.132.136.201,192.168.67.64,436,1,84,b'ct\xe7\x7f\x12\xe0\xad\xe7\xe0\x05\x9cv\xe3\xe9\x89\x8b\xf3\xa4\xe2s\xc0\xe8\xbf\x00\xc8\x94\xba\x8e:KtG9\xd3G\x1f\xb6\xdf\x1b\xd4\xa8w\xf1\x82\x8c_!\x89\x1c\xb1 \xd0t\xc0\xf0^?\xa9Z\xc9&A\xa6`\x1d7\xb6O\xd4\xf7\x00\x9e\xde\xd3h\xf5\x94N\x05\xfex\x1f\x04\x05',0
5,0.15020084381103516,192.168.67.64,124.132.136.201,1,-203,0,,1
6,0.20047497749328613,124.132.136.201,192.168.67.64,520,1,326,"b'\xbd<3&W\x97\xbe\x1dO\x9f\xed\xc7b\x9d\xba\xd3\xd9\x8c\xfa3\x04\x0b\xfb4H y\x80\x009OG\xef\xe8\x94MV#\x81\x9f\xa3\x95\xcex\x0e\x14\xe1\xdb\xfe\x17\xc7\xba-TdG\xf4\xdc\x86\x91\xfb\xd54$\xc6Q\xed\x15x\x84^\xeb\xecm\x8an$\x06\xedD\x07\xb9\x9f\x82\xe8\xff\x14ka\xc3+\xe2-\xcc\xaa\xacl\x0e\xb3\x81\xfd\xaf\xa1\x9e\x84\xb0x>\xed\x93.\xffw\tL\xd2\xec\x06_O\xfc\xdbB\x7f\xbe\t\xaf\xad{\xc9\xd16e\xf1\xfe\xb4U\x93\x93\xa1l7\xd8\\?]\x12\x19\r\x0f\x8c\xb5\xb0U+\x8d\xc0\xacD\xdc\xfa<\xbe[\\u\x9e\x06\x0e\x18\x954u\xe3VW\xf0\xd9a\xb3m\xbf6\xeb\x9dW\xd2W)g|\x1bR\xd3\xfd\xd7\xbd#3\x9b\x08e\x99\xcal\xe6\x96P\xdb2\xb8\n\xf1Y\n&\\\xf5_\xf8\x1b\xf5\x8c\xea\xa4\x82%\xd8\xf7\xc45\xc2N`yS\x91\x9d8\xf7\xa8Y\xcbP\xed\xf7[\xe3\x98\x95X*\x88\xd7\xbc\x18\x81)?\x13\x9c\xc3`\x9d\xbd\x8cZ\xe19e\xc4""rT\x99\x9b\xb5g+v\xb6s\x97\xf1v\'%\xb5\xf5a\xc9Y\x9c6\xe92\x1b\xa4\xc6\xdd\x05\x9d\x1a\x18\xe6\xd6t3\xbeoZ*5\x13y\x08\xbdt\xedR`\xf1i4\x1e\x8f'",0
7,0.20050907135009766,192.168.67.64,124.132.136.201,1,-203,0,,1
8,0.2443079948425293,124.132.136.201,192.168.67.64,97,1,146,"b""I\x8ac\xdb\xf7#\x0e\xbd'\x12=\xbaq~\x02\xa20\x9c\x85\x1e E\x9a\x91\x8cE1t\x05\xd0PU\xde\x14\xa1:/\xa12|@\xb9l\xf9\x10\x04,\x02\x04q\xa4\x82\x7fI*\x8f9I\xd8\xb5J\xab\x8aG\xb9\xce\xb9\xfd\xf9\xa4\x9c\xda6D\xf0\xb5\xc9\x86\xae\x84\x12)<\xee\x9e\x83X\x1a\xb8\xd6\xee\xd1#\x93nb\xda\xa7\x80\x02\\\xd3\xf8V\xe1\xf9\xa3\x1f`\xd6\xa1j\x9f\ru\x08T\xdb.\xaf\xdd48\x1bkJNm\xdc\xde\x15\xa8\x18\x1c\xde\xec\xd1\x7fY>65\xc5,e\xb2""",0
9,0.24434304237365723,192.168.67.64,124.132.136.201,1,-203,0,,1
10,0.2503089904785156,124.132.136.201,192.168.67.64,846,1,84,"b' #\xa4\xad\xc4\xf1\xfeI\xee\x05~\xb7\xaf\x1b\x82A\xd1\xbax\x05\xb0F\xf8\x17D\ro\xa1La\xc1\x18\xcc\xb1*9q\xfa*\xec.\x9dsm\xca\xc9\xee\x11u\xeb\x1f""\x16\x18\xcfu\xe8\xf7\x97\xe0]O\x86\x0e6\xc8\xa02\xc0\xdd\xf4\xf2\xf3j \x0c9^Yj\xf7\xf7\x88\x1a'",0
11,0.25033998489379883,192.168.67.64,124.132.136.201,1,-203,0,,1
12,0.29309701919555664,124.132.136.201,192.168.67.64,846,1,84,"b' #\xa4\xad\xc4\xf1\xfeI\xee\x05~\xb7\xaf\x1b\x82A\xd1\xbax\x05\xb0F\xf8\x17D\ro\xa1La\xc1\x18\xcc\xb1*9q\xfa*\xec.\x9dsm\xca\xc9\xee\x11u\xeb\x1f""\x16\x18\xcfu\xe8\xf7\x97\xe0]O\x86\x0e6\xc8\xa02\xc0\xdd\xf4\xf2\xf3j \x0c9^Yj\xf7\xf7\x88\x1a'",0
13,0.29312801361083984,192.168.67.64,124.132.136.201,1,-203,0,,1
14,0.2989368438720703,124.132.136.201,192.168.67.64,930,1,61,b'\x97\x90\x81\xf6\xc7P\xd8V-?\x16\xf8\xc9fN\xcf\x80\x8a\x9b\xfe\x8b2\xc1\x92\xf3D;qIn\x95\xdfH\xe6c\x00\xd0\x11\xf3\x0b\xe1\xb2cy$\x97:\xc3\xe5\xcd1\xfa\x9a=\x13\x15\xe1=\x16s\xfa',0
15,0.29895901679992676,192.168.67.64,124.132.136.201,1,-203,0,,1
16,0.35076904296875,124.132.136.201,192.168.67.64,1128,1,6,b'\xc6MS;\x99\xcd',0
17,0.350801944732666,192.168.67.64,124.132.136.201,1,-203,0,,1
18,0.40181994438171387,124.132.136.201,192.168.67.64,1134,1,73,b'X\x08\x1c\xfb\t\x03X\xce\xd3\x1d\x9a\xe3\x91\x15O)\xfdl\x915\x16\xfa\x1c\xb8J\x98\xa5\x8d\x90\xd5a\xf2nn\xbd84\xb2a\xf1\xd0\xe9ds\xdb\x01\xa0\xe5S\xeb\x99s\xdd\xcfX\xc8\x9d\xc0\x16c\xdeQ*\x13V\xc9\xdbu\xf9\x13z|\xef',0
19,0.4018540382385254,192.168.67.64,124.132.136.201,1,-203,0,,1
20,0.45001792907714844,124.132.136.201,192.168.67.64,1207,1,86,"b'\xd2R\xc3Z\xab\xbc>]~f\x9e\xaf\x07""2M\xdf\xb151\xc7\xe77\xdf\x84\xb5\xd0\xcf\x830g\x8fu\xb0\x140\xa0:\x1d\xeb\xc4\x95\xaf\x88PP\x05n\x17\xdb\xc6\xf7\xe5w\x06\xb0X\x912]\x1d7\x81k{\xbc0\xe9\xafR(\x03\xc6`\x18\xbfH\xd9\xff=\x17;\x1a\xa0\x14\x9b'",0
21,0.45005297660827637,192.168.67.64,124.132.136.201,1,-203,0,,1
22,0.45270395278930664,124.132.136.201,192.168.67.64,1293,1,6,b'\x1d\xa2\x9aN\x19u',0
23,0.45272302627563477,192.168.67.64,124.132.136.201,1,-203,0,,1
24,0.4938478469848633,124.132.136.201,192.168.67.64,991,1,137,"b'8\x9bIM\xd7\x10\xf18\x13\x0e5)i\xf8\xd9ek5\x15\xad\xad\x9bh\xca\x11\xa0\x8a\x02\x06\xa0\x96 \x93\xdd\xd05\xddQ\x17\x06/\xe1G\x02\xa8\xe3\xf0\xfd>\xd2\x04\xd3rn\x91\xbd\xe5\xb7\xf5\xd1\x19\x86\xcbu,?T\x95L\xe0?\xfc4\xd7\x8bvQY\xda\xa0\xdcy\xb1\x90""\xf9\x15\xc5)A>\xaf\x9a\x1d\x8f\xcd\xeb1g\x17\xeb\x8ef\xa5\xebR\x15\x05\xc05\xfcP\x86\xc0\x91\\\xc5d\x14fzK\x9d\x92w\xe1\x8af\x8e\xc0\x96\x9c(&6Kv'",0
25,0.4938788414001465,192.168.67.64,124.132.136.201,1,-203,0,,1
26,0.49976491928100586,124.132.136.201,192.168.67.64,1299,1,142,b'>\xb66\xf0s\\\x92\x0c\x8c\xec\xcb\x0eQ\x9d\x12\xf7\x90\x1d5\xcb\xb7t\x06=\x8a\xd6\xf3\x90\xcc\xf7\xd2\x1c\x8b\xfc\xe9m_g\xe9\xb4\t\x95y\x1d\xa0\xd1\xec\xebCyP\x8boD\x9b\x12\xa3\xab\xeao|\x1d\x8b7\x88\x8b \xa8\xc5\x82\x89\xb0\x1e\xf8\xf3[\xf6\x05\xb1\xf2-\xf0&\x18\r\xb3X\x8f\xd7\x9e\xb6\xd4|\x065F\xa83\xcd!\x84\x11\x01t]Z%sa\x13v\x83Ai\x8eU2\xe4\xe3\x15\x90\xf2\xf9\x19~H\xe2\xb3S\xe8\xb3\xb4\x9c\xf0\xea\xb1ms\xc5\x18\xf7t',0
27,0.49979591369628906,192.168.67.64,124.132.136.201,1,-203,0,,1
28,0.5269429683685303,192.168.67.64,124.132.136.201,1,-203,28,"b'\xdf8F\xbfN\xa5-\xbd,\xf4\xdbR\xd5\xe3\x03h\x92w\x9a\xa1\xb1[C\x97\xfb\x1fQ\xb6'",1
29,0.5464818477630615,124.132.136.201,192.168.67.64,1441,1,19,b'940&J\xde\xcfCw6\xbc\xbd\xcc\x9e\x9dv\xd4\xcc\\',0
30,0.5465190410614014,192.168.67.64,124.132.136.201,29,-203,0,,1
