,time,src,dst,len,role
0,0.000000,183.47.97.149,192.168.65.174,202,0
1,0.000249,192.168.65.174,183.47.97.149,137,1
2,0.009295,183.47.97.149,192.168.65.174,76,0
3,0.009561,192.168.65.174,183.47.97.149,92,1
4,0.015546,183.47.97.149,192.168.65.174,298,0
5,0.015807,192.168.65.174,183.47.97.149,70,1
6,0.015879,192.168.65.174,183.47.97.149,110,1
7,0.024819,183.47.97.149,192.168.65.174,76,0
8,0.031551,183.47.97.149,192.168.65.174,450,0
9,0.031799,192.168.65.174,183.47.97.149,110,1
10,0.039306,183.47.97.149,192.168.65.174,73,0
11,0.049465,183.47.97.149,192.168.65.174,202,0
12,0.049702,192.168.65.174,183.47.97.149,70,1
13,0.049766,192.168.65.174,183.47.97.149,110,1
14,0.055581,183.47.97.149,192.168.65.174,73,0
15,0.065122,183.47.97.149,192.168.65.174,202,0
16,0.074299,183.47.97.149,192.168.65.174,73,0
17,0.083624,183.47.97.149,192.168.65.174,202,0
18,0.083842,192.168.65.174,183.47.97.149,70,1
19,0.083905,192.168.65.174,183.47.97.149,137,1
20,0.094483,192.168.65.174,183.47.97.149,110,1
21,0.099288,183.47.97.149,192.168.65.174,514,0
22,0.106625,183.47.97.149,192.168.65.174,76,0
23,0.115980,183.47.97.149,192.168.65.174,202,0
24,0.116226,192.168.65.174,183.47.97.149,70,1
25,0.116301,192.168.65.174,183.47.97.149,110,1
26,0.132310,183.47.97.149,192.168.65.174,321,0
27,0.140652,183.47.97.149,192.168.65.174,73,0
28,0.149617,183.47.97.149,192.168.65.174,202,0
29,0.149898,192.168.65.174,183.47.97.149,70,1
30,0.149965,192.168.65.174,183.47.97.149,137,1
31,0.165489,183.47.97.149,192.168.65.174,514,0
32,0.174554,183.47.97.149,192.168.65.174,73,0
33,0.182765,183.47.97.149,192.168.65.174,281,0
34,0.183040,192.168.65.174,183.47.97.149,70,1
35,0.183136,192.168.65.174,183.47.97.149,137,1
36,0.198525,183.47.97.149,192.168.65.174,202,0
37,0.207708,183.47.97.149,192.168.65.174,73,0
38,0.217023,183.47.97.149,192.168.65.174,202,0
39,0.217434,192.168.65.174,183.47.97.149,70,1
40,0.217512,192.168.65.174,183.47.97.149,137,1
41,0.228510,192.168.65.174,183.47.97.149,110,1
42,0.234550,183.47.97.149,192.168.65.174,662,0
43,0.240765,183.47.97.149,192.168.65.174,76,0
44,0.250075,183.47.97.149,192.168.65.174,202,0
45,0.250307,192.168.65.174,183.47.97.149,70,1
46,0.260528,192.168.65.174,183.47.97.149,137,1
47,0.265579,183.47.97.149,192.168.65.174,202,0
48,0.276539,192.168.65.174,183.47.97.149,67,1
49,0.276619,192.168.65.174,183.47.97.149,110,1
50,0.282423,183.47.97.149,192.168.65.174,271,0
51,0.285449,183.47.97.149,192.168.65.174,73,0
52,0.296512,192.168.65.174,183.47.97.149,67,1
53,0.298371,183.47.97.149,192.168.65.174,472,0
54,0.301316,183.47.97.149,192.168.65.174,73,0
55,0.312523,192.168.65.174,183.47.97.149,67,1
56,0.312606,192.168.65.174,183.47.97.149,217,1
57,0.314910,183.47.97.149,192.168.65.174,202,0
58,0.325524,192.168.65.174,183.47.97.149,67,1
59,0.331531,183.47.97.149,192.168.65.174,312,0
60,0.331763,192.168.65.174,183.47.97.149,110,1
61,0.337577,183.47.97.149,192.168.65.174,73,0
62,0.348519,192.168.65.174,183.47.97.149,67,1
63,0.350182,183.47.97.149,192.168.65.174,202,0
64,0.356251,183.47.97.149,192.168.65.174,73,0
65,0.366983,183.47.97.149,192.168.65.174,510,0
66,0.367214,192.168.65.174,183.47.97.149,70,1
67,0.367298,192.168.65.174,183.47.97.149,137,1
68,0.377546,192.168.65.174,183.47.97.149,110,1
69,0.383608,183.47.97.149,192.168.65.174,202,0
70,0.392835,183.47.97.149,192.168.65.174,76,0
71,0.399074,183.47.97.149,192.168.65.174,202,0
72,0.399427,192.168.65.174,183.47.97.149,70,1
73,0.399553,192.168.65.174,183.47.97.149,110,1
74,0.414982,183.47.97.149,192.168.65.174,202,0
75,0.424348,183.47.97.149,192.168.65.174,73,0
76,0.433487,183.47.97.149,192.168.65.174,450,0
77,0.433741,192.168.65.174,183.47.97.149,70,1
78,0.433812,192.168.65.174,183.47.97.149,137,1
79,0.433914,192.168.65.174,183.47.97.149,76,1
80,0.446773,183.47.97.149,192.168.65.174,92,0
81,0.449318,183.47.97.149,192.168.65.174,202,0
82,0.449563,192.168.65.174,183.47.97.149,110,1
83,0.458494,183.47.97.149,192.168.65.174,76,0
84,0.458755,192.168.65.174,183.47.97.149,70,1
85,0.464855,183.47.97.149,192.168.65.174,202,0
86,0.465101,192.168.65.174,183.47.97.149,110,1
87,0.473984,183.47.97.149,192.168.65.174,73,0
88,0.483476,183.47.97.149,192.168.65.174,202,0
89,0.483700,192.168.65.174,183.47.97.149,70,1
90,0.489643,183.47.97.149,192.168.65.174,73,0
91,0.499190,183.47.97.149,192.168.65.174,606,0
92,0.499580,192.168.65.174,183.47.97.149,137,1
93,0.510231,192.168.65.174,183.47.97.149,67,1
94,0.514898,183.47.97.149,192.168.65.174,202,0
95,0.523088,183.47.97.149,192.168.65.174,73,0
96,0.531873,183.47.97.149,192.168.65.174,202,0
97,0.532127,192.168.65.174,183.47.97.149,70,1
98,0.532195,192.168.65.174,183.47.97.149,137,1
99,0.547683,183.47.97.149,192.168.65.174,202,0
100,0.547939,192.168.65.174,183.47.97.149,110,1
101,0.556895,183.47.97.149,192.168.65.174,73,0
102,0.566469,183.47.97.149,192.168.65.174,450,0
103,0.566764,192.168.65.174,183.47.97.149,70,1
104,0.566846,192.168.65.174,183.47.97.149,110,1
105,0.572559,183.47.97.149,192.168.65.174,73,0
106,0.582210,183.47.97.149,192.168.65.174,202,0
107,0.582488,192.168.65.174,183.47.97.149,110,1
108,0.591446,183.47.97.149,192.168.65.174,73,0
109,0.597795,183.47.97.149,192.168.65.174,202,0
110,0.598021,192.168.65.174,183.47.97.149,70,1
111,0.598085,192.168.65.174,183.47.97.149,110,1
112,0.607726,183.47.97.149,192.168.65.174,73,0
113,0.616563,183.47.97.149,192.168.65.174,202,0
114,0.616791,192.168.65.174,183.47.97.149,110,1
115,0.622713,183.47.97.149,192.168.65.174,73,0
116,0.632220,183.47.97.149,192.168.65.174,514,0
117,0.632454,192.168.65.174,183.47.97.149,70,1
118,0.632526,192.168.65.174,183.47.97.149,110,1
119,0.639540,183.47.97.149,192.168.65.174,73,0
120,0.647788,183.47.97.149,192.168.65.174,202,0
121,0.648043,192.168.65.174,183.47.97.149,110,1
122,0.657147,183.47.97.149,192.168.65.174,73,0
123,0.666525,183.47.97.149,192.168.65.174,202,0
124,0.666761,192.168.65.174,183.47.97.149,70,1
125,0.666857,192.168.65.174,183.47.97.149,131,1
126,0.672822,183.47.97.149,192.168.65.174,73,0
127,0.682179,183.47.97.149,192.168.65.174,202,0
128,0.682440,192.168.65.174,183.47.97.149,161,1
129,0.691539,183.47.97.149,192.168.65.174,73,0
130,0.697833,183.47.97.149,192.168.65.174,463,0
131,0.698085,192.168.65.174,183.47.97.149,70,1
132,0.698153,192.168.65.174,183.47.97.149,275,1
