,time,src,dst,len,role
0,0.000000,192.168.65.174,183.47.97.149,1356,Role.CLIENT
1,0.018807,183.47.97.149,192.168.65.174,28,Role.SERVER
2,0.019745,192.168.65.174,183.47.97.149,1356,Role.CLIENT
3,0.033496,183.47.97.149,192.168.65.174,135,Role.SERVER
4,0.034818,192.168.65.174,183.47.97.149,52,Role.CLIENT
5,0.047054,183.47.97.149,192.168.65.174,31,Role.SERVER
6,0.047054,183.47.97.149,192.168.65.174,136,Role.SERVER
7,0.047750,192.168.65.174,183.47.97.149,146,Role.CLIENT
8,0.047844,192.168.65.174,183.47.97.149,34,Role.CLIENT
9,0.058319,192.168.65.174,183.47.97.149,25,Role.CLIENT
10,0.060157,183.47.97.149,192.168.65.174,31,Role.SERVER
11,0.060157,183.47.97.149,192.168.65.174,62,Role.SERVER
12,0.060157,183.47.97.149,192.168.65.174,34,Role.SERVER
13,0.060192,183.47.97.149,192.168.65.174,31,Role.SERVER
14,0.060192,183.47.97.149,192.168.65.174,50,Role.SERVER
15,0.060548,192.168.65.174,183.47.97.149,50,Role.CLIENT
16,0.060697,192.168.65.174,183.47.97.149,50,Role.CLIENT
17,0.071440,192.168.65.174,183.47.97.149,28,Role.CLIENT
18,0.071596,192.168.65.174,183.47.97.149,1133,Role.CLIENT
19,0.071686,192.168.65.174,183.47.97.149,1330,Role.CLIENT
20,0.071755,192.168.65.174,183.47.97.149,191,Role.CLIENT
21,0.076696,183.47.97.149,192.168.65.174,289,Role.SERVER
22,0.084396,183.47.97.149,192.168.65.174,28,Role.SERVER
23,0.093861,183.47.97.149,192.168.65.174,1330,Role.SERVER
24,0.093990,183.47.97.149,192.168.65.174,1330,Role.SERVER
25,0.094132,192.168.65.174,183.47.97.149,28,Role.CLIENT
26,0.095359,183.47.97.149,192.168.65.174,1330,Role.SERVER
27,0.095493,183.47.97.149,192.168.65.174,1330,Role.SERVER
28,0.106332,192.168.65.174,183.47.97.149,28,Role.CLIENT
29,0.106465,183.47.97.149,192.168.65.174,1330,Role.SERVER
30,0.106576,183.47.97.149,192.168.65.174,1330,Role.SERVER
31,0.117179,183.47.97.149,192.168.65.174,1330,Role.SERVER
32,0.117282,183.47.97.149,192.168.65.174,1330,Role.SERVER
33,0.117373,192.168.65.174,183.47.97.149,28,Role.CLIENT
34,0.126140,183.47.97.149,192.168.65.174,1330,Role.SERVER
35,0.126269,183.47.97.149,192.168.65.174,1330,Role.SERVER
36,0.135083,183.47.97.149,192.168.65.174,1330,Role.SERVER
37,0.135122,183.47.97.149,192.168.65.174,1330,Role.SERVER
38,0.135317,192.168.65.174,183.47.97.149,28,Role.CLIENT
39,0.139701,183.47.97.149,192.168.65.174,1330,Role.SERVER
40,0.139818,183.47.97.149,192.168.65.174,1330,Role.SERVER
41,0.145514,183.47.97.149,192.168.65.174,172,Role.SERVER
42,0.145602,183.47.97.149,192.168.65.174,1233,Role.SERVER
43,0.145802,192.168.65.174,183.47.97.149,28,Role.CLIENT
44,0.145909,192.168.65.174,183.47.97.149,25,Role.CLIENT
45,0.147089,183.47.97.149,192.168.65.174,304,Role.SERVER
46,0.147205,183.47.97.149,192.168.65.174,1330,Role.SERVER
