,time,src,dst,len,role
0,0.0,52.166.239.97,192.168.67.64,132,0
1,0.013139009475708008,192.168.67.64,52.166.239.97,49,1
2,0.01347804069519043,52.166.239.97,192.168.67.64,403,0
3,0.026647090911865234,192.168.67.64,52.166.239.97,49,1
4,0.027010202407836914,52.166.239.97,192.168.67.64,504,0
5,0.040090084075927734,192.168.67.64,52.166.239.97,49,1
6,0.04810500144958496,52.166.239.97,192.168.67.64,102,0
7,0.06107211112976074,192.168.67.64,52.166.239.97,49,1
8,0.07178115844726562,52.166.239.97,192.168.67.64,144,0
9,0.08498001098632812,192.168.67.64,52.166.239.97,49,1
10,0.0905141830444336,52.166.239.97,192.168.67.64,404,0
11,0.10356616973876953,192.168.67.64,52.166.239.97,49,1
12,0.1322171688079834,52.166.239.97,192.168.67.64,460,0
13,0.1455681324005127,192.168.67.64,52.166.239.97,49,1
14,0.17333507537841797,52.166.239.97,192.168.67.64,454,0
15,0.18663811683654785,192.168.67.64,52.166.239.97,49,1
16,0.20142507553100586,52.166.239.97,192.168.67.64,154,0
17,0.21527600288391113,192.168.67.64,52.166.239.97,49,1
18,0.2271740436553955,52.166.239.97,192.168.67.64,102,0
19,0.2406330108642578,192.168.67.64,52.166.239.97,49,1
20,0.25290918350219727,52.166.239.97,192.168.67.64,392,0
21,0.2660090923309326,192.168.67.64,52.166.239.97,49,1
22,0.35698413848876953,52.166.239.97,192.168.67.64,628,0
23,0.3703491687774658,192.168.67.64,52.166.239.97,49,1
24,0.4030430316925049,52.166.239.97,192.168.67.64,102,0
25,0.41607022285461426,192.168.67.64,52.166.239.97,49,1
26,0.42542004585266113,52.166.239.97,192.168.67.64,412,0
27,0.4384901523590088,192.168.67.64,52.166.239.97,49,1
28,0.4765191078186035,52.166.239.97,192.168.67.64,459,0
29,0.48969316482543945,192.168.67.64,52.166.239.97,49,1
30,0.5118050575256348,192.168.67.64,52.166.239.97,97,1
31,0.5248291492462158,52.166.239.97,192.168.67.64,255,0
32,0.5379171371459961,192.168.67.64,52.166.239.97,49,1
33,0.5410630702972412,52.166.239.97,192.168.67.64,266,0
34,0.5542001724243164,192.168.67.64,52.166.239.97,49,1
35,0.5542130470275879,192.168.67.64,52.166.239.97,97,1
36,0.5619871616363525,52.166.239.97,192.168.67.64,192,0
37,0.5748131275177002,192.168.67.64,52.166.239.97,49,1
38,0.605316162109375,52.166.239.97,192.168.67.64,102,0
39,0.6074841022491455,192.168.67.64,52.166.239.97,49,1
40,0.6075000762939453,192.168.67.64,52.166.239.97,97,1
41,0.6186211109161377,192.168.67.64,52.166.239.97,49,1
42,0.6241171360015869,52.166.239.97,192.168.67.64,103,0
43,0.6374690532684326,192.168.67.64,52.166.239.97,49,1
44,0.6454870700836182,52.166.239.97,192.168.67.64,403,0
45,0.6585440635681152,192.168.67.64,52.166.239.97,49,1
46,0.658560037612915,192.168.67.64,52.166.239.97,97,1
47,0.6848571300506592,52.166.239.97,192.168.67.64,103,0
48,0.6868162155151367,192.168.67.64,52.166.239.97,49,1
49,0.6980152130126953,192.168.67.64,52.166.239.97,49,1
50,0.7060801982879639,52.166.239.97,192.168.67.64,396,0
51,0.719257116317749,192.168.67.64,52.166.239.97,49,1
52,0.7192730903625488,192.168.67.64,52.166.239.97,97,1
