,time,src,dst,len,role
0,0.000000,183.47.97.149,192.168.65.174,181,Role.SERVER
1,0.007615,183.47.97.149,192.168.65.174,31,Role.SERVER
2,0.017488,183.47.97.149,192.168.65.174,224,Role.SERVER
3,0.017708,192.168.65.174,183.47.97.149,28,Role.CLIENT
4,0.017770,192.168.65.174,183.47.97.149,286,Role.CLIENT
5,0.033220,183.47.97.149,192.168.65.174,227,Role.SERVER
6,0.033444,192.168.65.174,183.47.97.149,114,Role.CLIENT
7,0.042008,183.47.97.149,192.168.65.174,31,Role.SERVER
8,0.050664,183.47.97.149,192.168.65.174,303,Role.SERVER
9,0.050892,192.168.65.174,183.47.97.149,28,Role.CLIENT
10,0.050984,192.168.65.174,183.47.97.149,68,Role.CLIENT
11,0.056266,183.47.97.149,192.168.65.174,31,Role.SERVER
12,0.066533,183.47.97.149,192.168.65.174,202,Role.SERVER
13,0.066784,192.168.65.174,183.47.97.149,68,Role.CLIENT
14,0.073724,183.47.97.149,192.168.65.174,31,Role.SERVER
15,0.084210,183.47.97.149,192.168.65.174,160,Role.SERVER
16,0.084435,192.168.65.174,183.47.97.149,28,Role.CLIENT
17,0.084502,192.168.65.174,183.47.97.149,225,Role.CLIENT
18,0.091293,183.47.97.149,192.168.65.174,31,Role.SERVER
19,0.100218,183.47.97.149,192.168.65.174,181,Role.SERVER
20,0.100441,192.168.65.174,183.47.97.149,68,Role.CLIENT
21,0.107658,183.47.97.149,192.168.65.174,31,Role.SERVER
22,0.116574,183.47.97.149,192.168.65.174,431,Role.SERVER
23,0.116808,192.168.65.174,183.47.97.149,28,Role.CLIENT
24,0.123354,183.47.97.149,192.168.65.174,31,Role.SERVER
25,0.134009,192.168.65.174,183.47.97.149,95,Role.CLIENT
26,0.134882,183.47.97.149,192.168.65.174,202,Role.SERVER
27,0.145989,192.168.65.174,183.47.97.149,25,Role.CLIENT
28,0.146062,192.168.65.174,183.47.97.149,48,Role.CLIENT
29,0.152939,183.47.97.149,192.168.65.174,181,Role.SERVER
30,0.157732,183.47.97.149,192.168.65.174,31,Role.SERVER
31,0.167531,183.47.97.149,192.168.65.174,232,Role.SERVER
32,0.167891,192.168.65.174,183.47.97.149,28,Role.CLIENT
33,0.167992,192.168.65.174,183.47.97.149,252,Role.CLIENT
34,0.170436,183.47.97.149,192.168.65.174,31,Role.SERVER
35,0.183786,183.47.97.149,192.168.65.174,534,Role.SERVER
36,0.190818,183.47.97.149,192.168.65.174,31,Role.SERVER
37,0.202007,192.168.65.174,183.47.97.149,25,Role.CLIENT
38,0.202602,183.47.97.149,192.168.65.174,263,Role.SERVER
39,0.213016,192.168.65.174,183.47.97.149,25,Role.CLIENT
40,0.213111,192.168.65.174,183.47.97.149,95,Role.CLIENT
41,0.217345,183.47.97.149,192.168.65.174,181,Role.SERVER
42,0.228016,192.168.65.174,183.47.97.149,25,Role.CLIENT
43,0.233109,183.47.97.149,192.168.65.174,181,Role.SERVER
44,0.238185,183.47.97.149,192.168.65.174,31,Role.SERVER
45,0.238430,192.168.65.174,183.47.97.149,252,Role.CLIENT
46,0.249028,192.168.65.174,183.47.97.149,25,Role.CLIENT
47,0.249103,192.168.65.174,183.47.97.149,68,Role.CLIENT
48,0.250837,183.47.97.149,192.168.65.174,352,Role.SERVER
49,0.261133,183.47.97.149,192.168.65.174,31,Role.SERVER
50,0.261348,192.168.65.174,183.47.97.149,25,Role.CLIENT
51,0.267746,183.47.97.149,192.168.65.174,234,Role.SERVER
52,0.268002,192.168.65.174,183.47.97.149,68,Role.CLIENT
53,0.271647,183.47.97.149,192.168.65.174,31,Role.SERVER
54,0.282037,192.168.65.174,183.47.97.149,25,Role.CLIENT
55,0.282121,192.168.65.174,183.47.97.149,68,Role.CLIENT
56,0.283354,183.47.97.149,192.168.65.174,181,Role.SERVER
57,0.293148,183.47.97.149,192.168.65.174,31,Role.SERVER
58,0.300442,183.47.97.149,192.168.65.174,308,Role.SERVER
59,0.300701,192.168.65.174,183.47.97.149,28,Role.CLIENT
60,0.300781,192.168.65.174,183.47.97.149,68,Role.CLIENT
61,0.304516,183.47.97.149,192.168.65.174,31,Role.SERVER
62,0.315036,192.168.65.174,183.47.97.149,179,Role.CLIENT
63,0.316836,183.47.97.149,192.168.65.174,500,Role.SERVER
64,0.323904,183.47.97.149,192.168.65.174,31,Role.SERVER
65,0.333556,183.47.97.149,192.168.65.174,308,Role.SERVER
66,0.333806,192.168.65.174,183.47.97.149,28,Role.CLIENT
67,0.333875,192.168.65.174,183.47.97.149,95,Role.CLIENT
68,0.338119,183.47.97.149,192.168.65.174,31,Role.SERVER
