,time,src,dst,len,role
0,0.000000,183.47.97.149,192.168.65.174,160,Role.SERVER
1,0.007486,183.47.97.149,192.168.65.174,34,Role.SERVER
2,0.017422,183.47.97.149,192.168.65.174,549,Role.SERVER
3,0.017655,192.168.65.174,183.47.97.149,28,Role.CLIENT
4,0.017720,192.168.65.174,183.47.97.149,68,Role.CLIENT
5,0.033049,183.47.97.149,192.168.65.174,160,Role.SERVER
6,0.042213,183.47.97.149,192.168.65.174,31,Role.SERVER
7,0.051957,183.47.97.149,192.168.65.174,160,Role.SERVER
8,0.052281,192.168.65.174,183.47.97.149,28,Role.CLIENT
9,0.052354,192.168.65.174,183.47.97.149,95,Role.CLIENT
10,0.063145,192.168.65.174,183.47.97.149,68,Role.CLIENT
11,0.071025,183.47.97.149,192.168.65.174,160,Role.SERVER
12,0.074711,183.47.97.149,192.168.65.174,31,Role.SERVER
13,0.084224,183.47.97.149,192.168.65.174,479,Role.SERVER
14,0.084523,192.168.65.174,183.47.97.149,28,Role.CLIENT
15,0.087195,183.47.97.149,192.168.65.174,31,Role.SERVER
16,0.098133,192.168.65.174,183.47.97.149,175,Role.CLIENT
17,0.099851,183.47.97.149,192.168.65.174,160,Role.SERVER
18,0.110135,192.168.65.174,183.47.97.149,25,Role.CLIENT
19,0.118376,183.47.97.149,192.168.65.174,206,Role.SERVER
20,0.121434,183.47.97.149,192.168.65.174,31,Role.SERVER
21,0.132141,192.168.65.174,183.47.97.149,25,Role.CLIENT
22,0.132236,192.168.65.174,183.47.97.149,95,Role.CLIENT
23,0.134244,183.47.97.149,192.168.65.174,160,Role.SERVER
24,0.145140,192.168.65.174,183.47.97.149,25,Role.CLIENT
25,0.145206,192.168.65.174,183.47.97.149,68,Role.CLIENT
26,0.150670,183.47.97.149,192.168.65.174,475,Role.SERVER
27,0.156774,183.47.97.149,192.168.65.174,31,Role.SERVER
28,0.167566,183.47.97.149,192.168.65.174,31,Role.SERVER
29,0.167566,183.47.97.149,192.168.65.174,160,Role.SERVER
30,0.167796,192.168.65.174,183.47.97.149,25,Role.CLIENT
31,0.178139,192.168.65.174,183.47.97.149,25,Role.CLIENT
32,0.186112,183.47.97.149,192.168.65.174,181,Role.SERVER
33,0.186333,192.168.65.174,183.47.97.149,95,Role.CLIENT
34,0.197160,192.168.65.174,183.47.97.149,25,Role.CLIENT
35,0.201610,183.47.97.149,192.168.65.174,160,Role.SERVER
36,0.209571,183.47.97.149,192.168.65.174,31,Role.SERVER
37,0.217427,183.47.97.149,192.168.65.174,457,Role.SERVER
38,0.217682,192.168.65.174,183.47.97.149,28,Role.CLIENT
39,0.217750,192.168.65.174,183.47.97.149,95,Role.CLIENT
40,0.234324,183.47.97.149,192.168.65.174,160,Role.SERVER
41,0.234569,192.168.65.174,183.47.97.149,68,Role.CLIENT
42,0.241863,183.47.97.149,192.168.65.174,31,Role.SERVER
43,0.249891,183.47.97.149,192.168.65.174,160,Role.SERVER
44,0.250143,192.168.65.174,183.47.97.149,28,Role.CLIENT
45,0.250212,192.168.65.174,183.47.97.149,68,Role.CLIENT
46,0.259123,183.47.97.149,192.168.65.174,31,Role.SERVER
47,0.268608,183.47.97.149,192.168.65.174,160,Role.SERVER
48,0.268853,192.168.65.174,183.47.97.149,68,Role.CLIENT
49,0.272860,183.47.97.149,192.168.65.174,31,Role.SERVER
50,0.283210,192.168.65.174,183.47.97.149,25,Role.CLIENT
51,0.284153,183.47.97.149,192.168.65.174,372,Role.SERVER
52,0.293104,183.47.97.149,192.168.65.174,31,Role.SERVER
53,0.301626,183.47.97.149,192.168.65.174,160,Role.SERVER
54,0.301851,192.168.65.174,183.47.97.149,28,Role.CLIENT
55,0.301917,192.168.65.174,183.47.97.149,95,Role.CLIENT
56,0.312199,192.168.65.174,183.47.97.149,68,Role.CLIENT
57,0.317210,183.47.97.149,192.168.65.174,160,Role.SERVER
58,0.324423,183.47.97.149,192.168.65.174,34,Role.SERVER
59,0.333969,183.47.97.149,192.168.65.174,160,Role.SERVER
60,0.334249,192.168.65.174,183.47.97.149,28,Role.CLIENT
61,0.334345,192.168.65.174,183.47.97.149,68,Role.CLIENT
62,0.345192,192.168.65.174,183.47.97.149,68,Role.CLIENT
63,0.349774,183.47.97.149,192.168.65.174,457,Role.SERVER
64,0.357377,183.47.97.149,192.168.65.174,34,Role.SERVER
65,0.366698,183.47.97.149,192.168.65.174,160,Role.SERVER
66,0.366971,192.168.65.174,183.47.97.149,28,Role.CLIENT
67,0.367041,192.168.65.174,183.47.97.149,68,Role.CLIENT
68,0.377192,192.168.65.174,183.47.97.149,68,Role.CLIENT
69,0.385437,183.47.97.149,192.168.65.174,181,Role.SERVER
