,time,src,dst,len,role
0,0.0,172.65.221.66,192.168.67.64,78,0
1,0.9882099628448486,172.65.221.66,192.168.67.64,70,0
2,1.0055170059204102,192.168.67.64,172.65.221.66,90,1
3,1.1911261081695557,172.65.221.66,192.168.67.64,78,0
4,1.6748161315917969,172.65.221.66,192.168.67.64,89,0
5,2.1918749809265137,172.65.221.66,192.168.67.64,70,0
6,2.2551259994506836,192.168.67.64,172.65.221.66,78,1
7,2.256808042526245,192.168.67.64,172.65.221.66,70,1
8,2.4427199363708496,172.65.221.66,192.168.67.64,78,0
9,3.4410109519958496,172.65.221.66,192.168.67.64,70,0
10,3.4639079570770264,192.168.67.64,172.65.221.66,90,1
11,3.6456611156463623,172.65.221.66,192.168.67.64,78,0
12,4.632909059524536,172.65.221.66,192.168.67.64,70,0
13,4.653458118438721,192.168.67.64,172.65.221.66,90,1
14,4.856727123260498,172.65.221.66,192.168.67.64,78,0
15,5.515077114105225,192.168.67.64,172.65.221.66,127,1
16,5.694288969039917,172.65.221.66,192.168.67.64,78,0
17,5.694288969039917,172.65.221.66,192.168.67.64,1242,0
18,5.6943910121917725,172.65.221.66,192.168.67.64,1242,0
19,5.694483041763306,172.65.221.66,192.168.67.64,1242,0
20,5.694594144821167,172.65.221.66,192.168.67.64,1242,0
21,5.694703102111816,172.65.221.66,192.168.67.64,1242,0
22,5.695014953613281,172.65.221.66,192.168.67.64,1242,0
23,5.695014953613281,172.65.221.66,192.168.67.64,171,0
24,5.703052043914795,192.168.67.64,172.65.221.66,210,1
25,5.882005929946899,172.65.221.66,192.168.67.64,78,0
